Question,Document ID,Course
When does the course begin?,c02e79ef,data-engineering-zoomcamp
How can I get the course schedule?,c02e79ef,data-engineering-zoomcamp
What is the link for course registration?,c02e79ef,data-engineering-zoomcamp
How can I receive course announcements?,c02e79ef,data-engineering-zoomcamp
Where do I join the Slack channel?,c02e79ef,data-engineering-zoomcamp
Where can I find the prerequisites for this course?,1f6520ca,data-engineering-zoomcamp
How do I check the prerequisites for this course?,1f6520ca,data-engineering-zoomcamp
Where are the course prerequisites listed?,1f6520ca,data-engineering-zoomcamp
What are the requirements for joining this course?,1f6520ca,data-engineering-zoomcamp
Where is the list of prerequisites for the course?,1f6520ca,data-engineering-zoomcamp
Can I enroll in the course after it starts?,7842b56a,data-engineering-zoomcamp
Is late registration possible?,7842b56a,data-engineering-zoomcamp
Am I eligible to submit homework if I join late?,7842b56a,data-engineering-zoomcamp
Are there deadlines for final projects if I join late?,7842b56a,data-engineering-zoomcamp
Can I submit all assignments at the end of the course if I start late?,7842b56a,data-engineering-zoomcamp
When will I receive the confirmation email after registering for the Data Engineering Bootcamp?,0bbf41ec,data-engineering-zoomcamp
Do I need the confirmation email to start the Data Engineering Bootcamp?,0bbf41ec,data-engineering-zoomcamp
Can I begin learning and submitting homework without registering for the Data Engineering Bootcamp?,0bbf41ec,data-engineering-zoomcamp
Is registration for the Data Engineering Bootcamp mandatory to start the course?,0bbf41ec,data-engineering-zoomcamp
What is the purpose of registering for the Data Engineering Bootcamp if it is not mandatory?,0bbf41ec,data-engineering-zoomcamp
question1,63394d91,data-engineering-zoomcamp
question2,63394d91,data-engineering-zoomcamp
question3,63394d91,data-engineering-zoomcamp
question4,63394d91,data-engineering-zoomcamp
question5,63394d91,data-engineering-zoomcamp
How many Zoom Camps are held each year?,2ed9b986,data-engineering-zoomcamp
Are the Zoom Camps held for the same course?,2ed9b986,data-engineering-zoomcamp
When does the Data-Engineering Zoom Camp take place?,2ed9b986,data-engineering-zoomcamp
Is there more than one Data-Engineering Zoom Camp cohort each year?,2ed9b986,data-engineering-zoomcamp
Can I take the Zoom Camps at my own pace?,2ed9b986,data-engineering-zoomcamp
Is Mage AI being used in the 2024 cohort?,93e2c8ed,data-engineering-zoomcamp
Were the terraform videos re-recorded for the 2024 cohort?,93e2c8ed,data-engineering-zoomcamp
Was Prefect used in the 2023 edition of the course?,93e2c8ed,data-engineering-zoomcamp
Will the 2024 edition have differences from the 2023 cohort?,93e2c8ed,data-engineering-zoomcamp
Is Airflow being used in the 2023 edition instead of Prefect?,93e2c8ed,data-engineering-zoomcamp
Can I access the course materials after the course finishes?,a482086d,data-engineering-zoomcamp
Is it possible to continue looking at the homework after the course ends?,a482086d,data-engineering-zoomcamp
Can I work at my own pace after the course is complete?,a482086d,data-engineering-zoomcamp
Will the material be available for preparing for the next cohort?,a482086d,data-engineering-zoomcamp
Can I start working on my final capstone project after the course ends?,a482086d,data-engineering-zoomcamp
Can I receive support while taking the self-paced course?,eb56ae98,data-engineering-zoomcamp
Is there an open channel for questions in the self-paced mode?,eb56ae98,data-engineering-zoomcamp
Should I check anything before asking a question on Slack?,eb56ae98,data-engineering-zoomcamp
How can the @ZoomcampQABot assist me in the self-paced course?,eb56ae98,data-engineering-zoomcamp
Is the @ZoomcampQABot completely reliable for course-related questions?,eb56ae98,data-engineering-zoomcamp
Which YouTube playlist contains all the main course videos?,4292531b,data-engineering-zoomcamp
How can I access the course videos directly from the GitHub repository?,4292531b,data-engineering-zoomcamp
Where can I find year-specific playlists for additional videos like office hours?,4292531b,data-engineering-zoomcamp
Is there a direct link to the Main 'DATA ENGINEERING' playlist on YouTube?,4292531b,data-engineering-zoomcamp
Where is the main playlist pinned in the communication channels?,4292531b,data-engineering-zoomcamp
How many weekly hours should I dedicate to this course?,ea739c65,data-engineering-zoomcamp
What is the estimated time commitment for this course per week?,ea739c65,data-engineering-zoomcamp
"On average, how much time will this course take each week?",ea739c65,data-engineering-zoomcamp
What is the weekly expected study time for this course?,ea739c65,data-engineering-zoomcamp
How many hours should I plan to spend on this course every week?,ea739c65,data-engineering-zoomcamp
Can I receive a certificate if I complete the course at my own pace?,cb257ee5,data-engineering-zoomcamp
Is peer-review necessary for earning a certificate?,cb257ee5,data-engineering-zoomcamp
Why am I unable to get a certificate for the self-paced course?,cb257ee5,data-engineering-zoomcamp
Can I still earn a certificate if I don't participate in a live cohort?,cb257ee5,data-engineering-zoomcamp
Why are certificates awarded only during the time course is running?,cb257ee5,data-engineering-zoomcamp
Where is the zoom link for the office hours or workshop sessions?,04aa4897,data-engineering-zoomcamp
How do students participate in the office hours or workshop sessions?,04aa4897,data-engineering-zoomcamp
Where can I find the video URL for the live sessions before they begin?,04aa4897,data-engineering-zoomcamp
How should students submit questions during the live session?,04aa4897,data-engineering-zoomcamp
Where should I not post my questions during the live session to ensure they are answered?,04aa4897,data-engineering-zoomcamp
Will office hours be available if I miss them?,9681be3b,data-engineering-zoomcamp
Can I rewatch a workshop later if I can't attend?,9681be3b,data-engineering-zoomcamp
Are office hour sessions recorded for later viewing?,9681be3b,data-engineering-zoomcamp
Is there a way to access office hours after they've ended?,9681be3b,data-engineering-zoomcamp
What happens if I'm unable to attend the live office hours?,9681be3b,data-engineering-zoomcamp
Where can I find updated deadlines for homework and projects?,a1daf537,data-engineering-zoomcamp
Is there a specific place to look for extensions to deadlines?,a1daf537,data-engineering-zoomcamp
How will I know if there are any new updates about project deadlines?,a1daf537,data-engineering-zoomcamp
Who provides announcements about deadline extensions or other news?,a1daf537,data-engineering-zoomcamp
What should I check if I need information on updated deadlines from the Instructor(s)?,a1daf537,data-engineering-zoomcamp
Is it possible to submit homework after the due date?,be5bfee4,data-engineering-zoomcamp
What happens if the homework form is still open after the due date?,be5bfee4,data-engineering-zoomcamp
Can I confirm my late homework submission?,be5bfee4,data-engineering-zoomcamp
Are there any exceptions for late homework submissions?,be5bfee4,data-engineering-zoomcamp
How do I verify the date-time of my homework submission?,be5bfee4,data-engineering-zoomcamp
What is the URL for submitting homework assignments?,0e424a44,data-engineering-zoomcamp
Where should I upload my homework code?,0e424a44,data-engineering-zoomcamp
How can I share my homework repository?,0e424a44,data-engineering-zoomcamp
What should the homework link contain?,0e424a44,data-engineering-zoomcamp
Where will the instructor look for my homework?,0e424a44,data-engineering-zoomcamp
How are homework assignments graded and how can I see my points?,29865466,data-engineering-zoomcamp
What points contribute to the leaderboard total?,29865466,data-engineering-zoomcamp
How many points do I get for submitting an FAQ?,29865466,data-engineering-zoomcamp
How many points do I earn for each learning in public link?,29865466,data-engineering-zoomcamp
Where can I find the sum of all my points earned in the course?,29865466,data-engineering-zoomcamp
How do I see my display name for the leaderboard?,016d46a1,data-engineering-zoomcamp
What do I do if I am not on the leaderboard?,016d46a1,data-engineering-zoomcamp
How is my display name determined when I set up my account?,016d46a1,data-engineering-zoomcamp
"Can I change my display name and if so, how?",016d46a1,data-engineering-zoomcamp
Where can I edit my course profile to find my display name?,016d46a1,data-engineering-zoomcamp
Is Python 3.9 recommended for our 2024 course?,47972cb1,data-engineering-zoomcamp
Can we use Python 3.10 or 3.11 instead of 3.9?,47972cb1,data-engineering-zoomcamp
Why is Python 3.9 still recommended in 2024?,47972cb1,data-engineering-zoomcamp
Is Python 3.9 necessary for troubleshooting against recorded videos?,47972cb1,data-engineering-zoomcamp
Are Python 3.10 and 3.11 suitable for use in the course?,47972cb1,data-engineering-zoomcamp
What are the recommended environments for setting up the course?,ddf6c1b3,data-engineering-zoomcamp
Can I set up the environment on my local machine for this course?,ddf6c1b3,data-engineering-zoomcamp
What should I do if I prefer working locally on my laptop or PC?,ddf6c1b3,data-engineering-zoomcamp
Are there any challenges for Windows users when setting up the local environment?,ddf6c1b3,data-engineering-zoomcamp
Why might someone choose to use a virtual machine for this course?,ddf6c1b3,data-engineering-zoomcamp
Can I use GitHub Codespaces instead of cli/git bash for data ingestion and Docker file creation?,ac25d3af,data-engineering-zoomcamp
Does GitHub Codespaces come with pre-installed tools?,ac25d3af,data-engineering-zoomcamp
Can I open a GitHub repository directly in a GitHub Codespace?,ac25d3af,data-engineering-zoomcamp
Is Docker available in GitHub Codespaces?,ac25d3af,data-engineering-zoomcamp
Are computing Linux resources provided by GitHub Codespaces?,ac25d3af,data-engineering-zoomcamp
"Do I have to use GitHub Codespaces for the course, or can I use my own setup?",251218fc,data-engineering-zoomcamp
Is it mandatory to use GCP VM or can I work from my laptop?,251218fc,data-engineering-zoomcamp
Is there flexibility in choosing the development environment for this course?,251218fc,data-engineering-zoomcamp
Can I complete the course using PostgreSQL and Docker installed on my local machine?,251218fc,data-engineering-zoomcamp
Are there any restrictions on the platforms we can use for the course?,251218fc,data-engineering-zoomcamp
Do I need both GitHub Codespaces and GCP for this course?,3c0114ce,data-engineering-zoomcamp
Which environment should I choose for my end project in the course?,3c0114ce,data-engineering-zoomcamp
Is BigQuery part of GCP used in the course?,3c0114ce,data-engineering-zoomcamp
Is it possible to set up a local environment for this course?,3c0114ce,data-engineering-zoomcamp
Is learning GCP a better option for this course?,3c0114ce,data-engineering-zoomcamp
How can I open the Run command window to connect to a GCP VM using VSCode on a Windows machine?,f43f5fe7,data-engineering-zoomcamp
Where are the registry values located that need to be changed for connecting to a GCP VM using VSCode on a Windows machine?,f43f5fe7,data-engineering-zoomcamp
What steps should I follow to change the 'Autorun' registry value to connect to a GCP VM using VSCode on a Windows machine?,f43f5fe7,data-engineering-zoomcamp
Is there an alternative solution to changing the registry values to connect to a GCP VM using VSCode on a Windows machine?,f43f5fe7,data-engineering-zoomcamp
Where is the known_hosts file located in Windows if I need to delete the fingerprint to connect to a GCP VM using VSCode?,f43f5fe7,data-engineering-zoomcamp
Why is GCP chosen as the primary cloud provider for this course?,d061525d,data-engineering-zoomcamp
Can I use AWS instead of GCP for this course?,d061525d,data-engineering-zoomcamp
Does GCP offer any free trial or credits for new users?,d061525d,data-engineering-zoomcamp
Do I need a credit card to sign up for a free GCP account?,d061525d,data-engineering-zoomcamp
